,start_date,1100 Spruce St,1100 Walnut St,1360 Gillaspie Dr,1500 Pearl St,3172 Broadway,900 Walnut St
400,2019-02-05,103.804,65.578,38.428,78.966,61.486,12.008
401,2019-02-06,29.066000000000003,28.656,9.07,17.966,100.798,9.86
402,2019-02-07,60.894,9.624,65.556,4.886,92.75101538461539,50.495999999999995
403,2019-02-08,49.346000000000004,41.578,82.654,60.488,125.78699298358545,105.504
404,2019-02-09,42.736000000000004,16.862,,,67.25999163179915,103.40400997506234
405,2019-02-10,61.616,22.008,,22.246000000000002,73.486,88.82199002493766
406,2019-02-11,45.632000000000005,32.758,16.262,,128.36599999999999,102.182
407,2019-02-12,37.373999999999995,26.964,11.848,,63.554,132.938
408,2019-02-13,151.586,14.038,20.052,75.12400000000001,76.18579640718562,103.124
409,2019-02-14,21.162000000000003,11.232,11.642,104.36,95.96220359281436,10.054
410,2019-02-15,69.954,23.41,,97.006,58.152,171.282
411,2019-02-16,20.554000000000002,12.728,3.678,35.54,33.924,84.042
412,2019-02-17,47.388,30.77,31.994,,47.622,42.27
413,2019-02-18,1.308,,40.226,29.996,59.7133870967742,11.342
414,2019-02-19,52.118,39.132,28.302,119.406,113.5306129032258,46.592
415,2019-02-20,46.038000000000004,15.076,,19.119999999999997,77.472,145.338
416,2019-02-21,25.61,30.948,34.982,86.87,117.004,115.414
417,2019-02-22,42.754,34.224,,60.824,46.84,
418,2019-02-23,52.928,24.838,,29.93,6.172,69.336
419,2019-02-24,38.152,45.794000000000004,60.334,21.034,51.972,9.7
420,2019-02-25,9.656,10.022,51.007999999999996,43.251999999999995,88.72200000000001,13.394
421,2019-02-26,48.638,18.086,,72.25,76.248,95.06
422,2019-02-27,73.19,37.572,,60.968,105.938,18.616
423,2019-02-28,24.358000000000004,15.858,12.186,70.428,35.022,35.036
424,2019-03-01,84.23,20.808,15.686,31.734,60.184,66.91799999999999
